"id";"mark";"year";"period_of_production";"model";"version";"energy";"url_photo";"category";"color";"color_name";"maker";"material_number";"date_of_purchase";"price";"currency";"dealer";"scale";"comment"
1;"Alfa Romeo";1993;"1992-1998";"155 V6 TI DTM 1993";"1";"Thermique";"";"D";"";"";"Minichamps";"MIN 930120";"0000-00-00";0.0;"F";"";"43";""
2;"Alfa Romeo";1994;"1992-1998";"155 V6 TI DTM '94 (a)";"1";"Thermique";"";"D";"";"";"Minichamps";"430 940218";"0000-00-00";0.0;"F";"";"43";""
3;"Alfa Romeo";1994;"1992-1998";"155 V6 TI DTM '94 (b)";"1";"Thermique";"";"D";"";"";"Minichamps";"430 940127";"0000-00-00";0.0;"F";"";"43";""
4;"Alfa Romeo";1995;"1995";"Nuvola";"0";"Thermique";"alfa_romeo_nuvola.jpg";"ConceptCar";"Blue";"bleu";"Solido";"1556";"2000-10-28";59.0;"F";"";"43";""
5;"Audi";2000;"1985-2005";"A2";"1";"Thermique";"audi_a2.jpg";"A";"Black";"noir mÃ©tal";"Minichamps";"430 019000";"2000-06-21";99.99;"F";"";"43";""
6;"Audi";1996;"1996-2003";"A3";"1";"Thermique";"audi_a3.jpg";"C";"Blue";"bleu mÃ©tal";"Minichamps";"430 015100";"2000-10-06";99.99;"F";"";"43";""
7;"Audi";1999;"1994-2001";"A4";"1";"Thermique";"audi_a4.jpg";"D";"Green";"vert mÃ©tal";"Minichamps";"430 018400";"2000-06-15";99.99;"F";"";"43";""
8;"Audi";1999;"1994-2001";"A4 Avant";"1";"Thermique";"audi_a4_avant.jpg";"D";"Blue";"bleu mÃ©tal";"Minichamps";"430 018411";"2001-01-17";99.99;"F";"";"43";"SÃ©rie limitÃ©e Ã  1008 exemplaires"
9;"Audi";1998;"1998-2006 ";"TT CoupÃ©";"1";"Thermique";"audi_tt.jpg";"Sportives";"Red";"rouge";"Minichamps";"430 017221";"0000-00-00";0.0;"F";"";"43";""
10;"BMW";1956;"1956-1959";"507 Cabrio (soft top)";"1";"Thermique";"bmw_507.jpg";"GT";"Blue";"bleu";"Minichamps";"22522";"2000-10-06";99.99;"F";"";"43";""
11;"BMW";1994;"1992-1999";"M3 DTT 1994 (E36)";"3";"Thermique";"";"D";"";"";"Minichamps";"430 942211";"0000-00-00";0.0;"F";"";"43";""
12;"BMW";1992;"1992-1999";"M3 GTR ADAC GT â€“ CUP (E36)";"3";"Thermique";"";"D";"";"";"Minichamps";"430 932381";"0000-00-00";0.0;"F";"";"43";""
13;"BMW";1993;"1992-1999";"M3 GTR Street 1993 (E36)";"3";"Thermique";"bmw_m3_street.jpg";"D";"Black";"noir";"Minichamps";"430 023381";"0000-00-00";0.0;"F";"";"43";""
14;"BMW";2000;"2000-2006";"X5 (E53)";"1";"Thermique";"bmw_x5.jpg";"SUV L";"Yellow";"light yellow";"Minichamps";"431 028471";"2001-02-03";99.99;"F";"";"43";"SÃ©rie limitÃ©e Ã  1536 exemplaires"
15;"BMW";1999;"2000-2003";"Z8 Cabriolet (E52)";"1";"Thermique";"bmw_z8_cab.jpg";"Sportives";"Black";"noir";"Minichamps";"431 028730";"2000-06-10";99.99;"F";"";"43";""
16;"BMW";1999;"2000-2003";"Z8 Hard-Top (E52)";"1";"Thermique";"bmw_z8_ht.jpg";"Sportives";"Burngundy";"bordeau foncÃ© mÃ©tal";"Minichamps";"80 42 9 411 728";"2001-01-17";99.99;"F";"";"43";""
17;"Bugatti";1991;"1991-1995";"EB 110 Super Sports";"1";"Thermique";"bugatti_eb110.jpg";"Sportives";"Silver";"argent";"Minichamps";"130 102115";"0000-00-00";99.99;"F";"";"43";""
18;"CitroÃ«n";1961;"1961-1978";"Ami 6 berline";"1";"Thermique";"citroen_ami6.jpg";"B";"Red";"rouge / blanc";"Eligor";"1371";"0000-00-00";0.0;"F";"";"43";""
19;"CitroÃ«n";2000;"2000-2008";"C5";"1";"Thermique";"citroen_c5.jpg";"D";"Blue";"bleu glacier mÃ©tal";"Norev";"155503";"2001-02-03";99.99;"F";"";"43";""
20;"CitroÃ«n";0;"1955-1975";"DS 19 40Ã¨me anniv.";"0";"Thermique";"citroen_ds_salon.jpg";"ConceptCar";"Beige";"beige foncÃ© / crÃªme";"Vitesse";"L114";"0000-00-00";0.0;"F";"";"43";""
21;"CitroÃ«n";1974;"1970-1986";"GS";"1";"Thermique";"citroen_gs.jpg";"C";"Green";"vert foncÃ© mÃ©tal";"Verem";"441 (1974)";"0000-00-00";99.99;"F";"";"43";""
22;"CitroÃ«n";1970;"1970-1975";"SM";"1";"Thermique";"citroen_sm.jpg";"GT";"Blue";"bleu mÃ©tal";"Solido";"184 (12/70)";"0000-00-00";0.0;"F";"";"43";""
23;"CitroÃ«n";1997;"1997-2006";"Xsara 4 portes";"1";"Thermique";"citroen_xsara_4p.jpg";"C";"Yellow";"jaune mÃ©tal";"Paradcar";"63";"2001-02-03";99.99;"F";"";"43";""
24;"CitroÃ«n";1997;"1997-2006";"Xsara coupÃ©";"1";"Thermique";"citroen_xsara_coupe.jpg";"C";"Blue";"bleu mÃ©tal";"Paradcar";"68";"2001-02-03";99.99;"F";"";"43";""
25;"CitroÃ«n";1999;"1999-2010";"Xsara Picasso";"1";"Thermique";"citroen_xsara_picasso.jpg";"M1+";"Red";"rouge mÃ©tal";"Norev";"159802-3-4";"2000-10-28";99.99;"F";"";"43";""
26;"Ferrari";1994;"1989-1995";"348 Challenge 94";"1";"Thermique";"";"Sportives";"";"";"Bang";"9411";"0000-00-00";0.0;"F";"";"43";""
27;"Ferrari";1989;"1989-1995";"348 tb";"1";"Thermique";"ferrari_348tb.jpg";"Sportives";"Red";"rouge";"Herpa";"1010";"0000-00-00";99.99;"F";"";"43";""
28;"Ferrari";1987;"1987-1992";"F40";"1";"Thermique";"ferrari_f40.jpg";"Sportives";"Black";"noir";"Herpa";"1001";"0000-00-00";99.99;"F";"";"43";""
29;"Ferrari";1985;"1985-1996";"Testarossa Spider";"1";"Thermique";"ferrari_testarossa_sp.jpg";"Sportives";"Yellow";"jaune";"Herpa";"10313";"0000-00-00";99.99;"F";"";"43";""
30;"Ford";1993;"1993-1998";"Escort Cosworth ADAC GT - Cup 1993";"1";"Thermique";"";"C";"";"";"Minichamps";"MIN 938217";"0000-00-00";0.0;"F";"";"43";""
31;"Ford";1994;"1993-1998";"Escort RS Cosworth 9th MC94";"1";"Thermique";"";"C";"";"";"Minichamps";"430 948123";"0000-00-00";0.0;"F";"";"43";""
32;"Ford";1994;"1993-1996";"Mondeo BTCC 94";"1";"Thermique";"";"D";"";"";"Minichamps";"430 948003";"0000-00-00";0.0;"F";"";"43";""
33;"Honda";1996;"1996-2002";"S-MX Lowdown";"1";"Thermique";"honda_s-mx.jpg";"B+";"Orange";"orange";"Mtech";"MS-18-A";"2000-02-01";0.0;"F";"";"43";""
34;"McLaren";1993;"1993-1998";"F1";"1";"Thermique";"mclaren_f1.jpg";"Sportives";"Green";"vert foncÃ© mÃ©tal";"Minichamps";"630 133430";"0000-00-00";99.99;"F";"";"43";""
35;"Mercedes";1993;"1990-1993";"190 Evo 2 DTM 1993";"1";"Thermique";"";"D";"";"";"Minichamps";"MIN 933140";"0000-00-00";0.0;"F";"";"43";""
36;"Mercedes";1994;"1993-2000";"AMC C190 DTM '94";"1";"Thermique";"";"D";"";"";"Minichamps";"430 943304";"0000-00-00";0.0;"F";"";"43";""
37;"Mercedes";1997;"1997â€“200";"Class A";"1";"Thermique";"mercedes_classe_a.jpg";"A";"Green";"vert foncÃ© mÃ©tal";"Minichamps";"";"0000-00-00";0.0;"F";"";"43";""
38;"Mercedes";1998;"1998-1999";"CLK GTR (12)";"1";"Thermique";"mercedes_slk_12.jpg";"Sportives";"Blue";"bleu";"Maisto";"31504";"2000-10-28";99.0;"F";"";"43";""
39;"Mercedes";1998;"1998-1999";"CLK GTR (2)";"1";"Thermique";"mercedes_slk_2.jpg";"Sportives";"Grey";"gris mÃ©tal";"Maisto";"31504";"2000-10-28";99.0;"F";"";"43";""
40;"Mercedes";1998;"1998-2007";"ML 320";"1";"Thermique";"mercedes_classe_m.jpg";"SUV M";"Burngundy";"bordeau mÃ©tal";"Vitesse";"V98007";"2001-01-17";99.99;"F";"";"43";""
41;"Mercedes";1996;"1996-2003";"SLK 230";"1";"Thermique";"mercedes_slk_230.jpg";"Sportives";"Blue";"bleu";"Minichamps";"";"0000-00-00";99.99;"F";"";"43";""
42;"Nissan";1999;"1999-2002";"Skyline GT-R V spec (R34)";"1";"Thermique";"nissan_skyline_gtr34.jpg";"Sportives";"Blue";"bleu mÃ©tal";"Mtech";"MS 21 A";"2000-02-01";0.0;"F";"";"43";""
43;"Opel";1998;"1998-2004";"Astra Caravan";"1";"Thermique";"opel_astra_caravan.jpg";"C";"Grey";"gris mÃ©tal";"Minichamps";"";"0000-00-00";0.0;"F";"";"43";""
44;"Opel";1995;"1989-1997";"Calibra DTM 1995";"1";"Thermique";"";"D";"";"";"Minichamps";"130 954192";"0000-00-00";0.0;"F";"";"43";""
45;"Opel";1997;"1989-1997";"Calibra V6 'Bye-bye'";"1";"Thermique";"opel_calibra_dtm_bb.jpg";"D";"";"";"Minichamps";"430 954282";"0000-00-00";0.0;"F";"";"43";""
46;"Opel";1993;"1989-1997";"Calibra V6 DTM 1993";"1";"Thermique";"";"D";"";"";"Minichamps";"MIN 934101";"0000-00-00";0.0;"F";"";"43";""
47;"Opel";1991;"1986-1993";"Omega 3000 Evo 24h Spa 1991";"1";"Thermique";"";"D";"";"";"Minichamps";"14030";"0000-00-00";0.0;"F";"";"43";""
48;"Peugeot";1972;"1972-1988";"104";"1";"Thermique";"peugeot_104.jpg";"A";"Red";"rouge";"Solido";"12 (11/72)";"0000-00-00";0.0;"F";"";"43";""
49;"Peugeot";0;"1976-1988";"104 Rally";"2";"Thermique";"peugeot_104_z.jpg";"A";"Black";"noir";"Solido";"81 (11/78)";"0000-00-00";0.0;"F";"";"43";""
